order_id,customer_id,region,amount,order_ts
NT-000115,C154,EU-West,210.18,2026-03-06 21:28:05
NT-000116,C059,EU-West,619.75,2026-03-06 14:01:05
NT-000117,C045,APAC,48.24,2026-03-04 07:48:48
NT-000118,C163,APAC,508.51,2026-03-04 11:37:27
NT-000119,C027,EU-North,71.12,2026-03-05 16:20:42
NT-000120,C141,EU-West,36.62,2026-03-04 18:52:48
NT-000121,C132,EU-West,181.39,2026-03-04 09:49:25
NT-000122,C093,APAC,214.0,2026-03-05 07:12:33
NT-000123,C074,APAC,172.71,2026-03-03 14:35:08
NT-000124,C080,EU-West,16.48,2026-03-02 13:45:10
NT-000125,C166,EU-North,73.21,2026-03-08 09:29:07
NT-000126,C124,APAC,58.17,2026-03-06 14:26:53
NT-000127,C131,EU-North,141.44,2026-03-05 12:58:38
NT-000128,C130,US-East,142.43,2026-03-08 19:21:59
NT-000129,C115,APAC,58.22,2026-03-04 21:55:09
NT-000130,C083,EU-North,381.34,2026-03-06 18:29:59
NT-000131,C106,EU-West,51.04,2026-03-05 13:54:49
NT-000132,C167,EU-North,11.37,2026-03-08 18:24:42
NT-000133,C113,EU-West,49.58,2026-03-06 16:55:06
NT-000134,C168,EU-North,79.12,2026-03-07 10:26:55
NT-000135,C102,EU-West,227.85,2026-03-04 16:39:44
NT-000136,C184,APAC,105.38,2026-03-08 18:20:40
NT-000137,C074,EU-North,165.1,2026-03-02 13:40:43
NT-000138,C178,US-East,106.9,2026-03-02 09:28:10
NT-000139,C096,APAC,56.34,2026-03-08 07:18:22
NT-000140,C021,APAC,136.12,2026-03-06 11:10:11
NT-000141,C164,US-East,68.68,2026-03-06 10:14:29
NT-000142,C174,EU-North,94.02,2026-03-08 20:57:18
NT-000143,C177,US-East,35.49,2026-03-06 15:40:27
NT-000144,C098,US-East,98.33,2026-03-05 21:06:15
NT-000145,C102,US-East,86.72,2026-03-04 06:53:42
NT-000146,C191,APAC,235.44,2026-03-08 07:58:38
NT-000147,C091,EU-North,193.13,2026-03-08 13:38:51
NT-000148,C161,EU-West,48.11,2026-03-07 10:40:06
NT-000149,C024,US-East,45.81,2026-03-06 17:46:08
NT-000150,C094,US-East,138.55,2026-03-03 10:50:34
NT-000151,C192,US-East,170.25,2026-03-08 21:51:18
NT-000152,C174,APAC,692.52,2026-03-02 10:48:14
NT-000153,C004,US-East,49.39,2026-03-04 08:50:25
NT-000154,C164,US-East,29.28,2026-03-07 14:37:24
NT-000155,C057,EU-West,169.64,2026-03-02 16:58:39
NT-000156,C030,EU-North,11.39,2026-03-07 15:41:26
NT-000157,C138,EU-North,41.76,2026-03-05 09:06:15
NT-000158,C187,EU-North,198.24,2026-03-07 19:37:47
NT-000159,C072,EU-West,132.59,2026-03-08 21:39:26
NT-000160,C026,US-East,96.98,2026-03-05 13:54:23
NT-000161,C049,EU-West,703.31,2026-03-04 07:25:17
NT-000162,C153,EU-West,38.35,2026-03-02 12:41:40
NT-000163,C196,EU-North,81.99,2026-03-03 12:04:53
NT-000164,C153,EU-West,97.55,2026-03-03 16:49:09
NT-000165,C029,EU-West,40.6,2026-03-03 14:51:11
NT-000166,C005,EU-North,19.54,2026-03-08 13:37:20
NT-000167,C017,APAC,40.95,2026-03-05 22:07:47
NT-000168,C057,EU-West,236.31,2026-03-06 09:28:32
NT-000169,C165,EU-West,51.59,2026-03-07 22:19:29
NT-000170,C126,APAC,15.35,2026-03-05 19:43:06
NT-000171,C071,US-East,62.36,2026-03-06 10:04:08
NT-000172,C111,EU-West,117.16,2026-03-04 20:32:38
NT-000173,C059,APAC,49.27,2026-03-07 12:27:28
NT-000174,C081,US-East,21.89,2026-03-05 09:20:27
NT-000175,C022,EU-West,75.76,2026-03-05 08:05:53
NT-000176,C151,US-East,161.62,2026-03-04 10:35:03
NT-000177,C185,EU-West,580.23,2026-03-08 19:55:58
NT-000178,C055,EU-North,133.64,2026-03-04 09:36:32
NT-000179,C095,EU-West,186.12,2026-03-02 17:54:35
NT-000180,C197,EU-West,198.67,2026-03-08 19:54:35
NT-000181,C070,US-East,152.65,2026-03-07 14:01:11
NT-000182,C103,EU-West,65.62,2026-03-03 10:36:42
NT-000183,C056,APAC,39.02,2026-03-02 08:47:33
NT-000184,C199,EU-West,123.34,2026-03-04 15:46:20
NT-000185,C070,APAC,172.85,2026-03-08 07:43:05
NT-000186,C194,EU-West,18.09,2026-03-05 19:17:13
NT-000187,C079,EU-West,97.58,2026-03-07 21:33:42
NT-000188,C055,EU-North,143.42,2026-03-02 06:13:19
NT-000189,C111,EU-North,56.46,2026-03-02 06:31:47
NT-000190,C172,US-East,86.42,2026-03-03 22:35:53
NT-000191,C020,US-East,60.18,2026-03-02 19:01:29
NT-000192,C104,EU-West,344.53,2026-03-07 19:18:07
NT-000193,C093,EU-West,17.63,2026-03-06 20:53:44
NT-000194,C102,US-East,133.24,2026-03-05 18:33:05
NT-000195,C163,EU-West,25.65,2026-03-08 11:04:32
NT-000196,C166,EU-North,21.33,2026-03-08 17:22:46
NT-000197,C195,EU-West,78.33,2026-03-03 11:38:09
NT-000198,C195,APAC,232.31,2026-03-05 20:48:36
NT-000199,C081,EU-North,50.67,2026-03-07 16:55:40
NT-000200,C152,EU-West,14.75,2026-03-07 15:50:17
NT-000201,C095,US-East,86.65,2026-03-05 20:02:03
NT-000202,C130,APAC,58.44,2026-03-08 08:39:38
NT-000203,C147,EU-North,51.28,2026-03-08 07:28:58
NT-000204,C088,EU-West,23.7,2026-03-03 07:28:06
NT-000205,C134,EU-North,91.53,2026-03-03 20:28:33
NT-000206,C174,EU-West,197.1,2026-03-05 19:49:21
NT-000207,C174,APAC,73.86,2026-03-02 16:06:35
NT-000208,C150,EU-North,146.53,2026-03-07 10:21:05
NT-000209,C182,EU-West,42.28,2026-03-07 18:08:38
NT-000210,C172,EU-West,163.51,2026-03-08 16:52:08
NT-000211,C047,EU-North,77.72,2026-03-04 06:23:19
NT-000212,C020,US-East,115.17,2026-03-03 13:08:09
NT-000213,C087,EU-North,22.04,2026-03-08 22:02:42
NT-000214,C012,APAC,73.48,2026-03-03 11:46:28
NT-000215,C115,EU-North,36.16,2026-03-05 15:48:47
NT-000216,C050,US-East,185.56,2026-03-08 21:57:53
NT-000217,C200,APAC,46.1,2026-03-05 20:49:18
NT-000218,C036,US-East,51.73,2026-03-03 12:51:38
NT-000219,C133,EU-West,77.44,2026-03-04 09:45:54
NT-000220,C038,APAC,90.86,2026-03-04 20:57:32
NT-000221,C007,APAC,53.68,2026-03-08 20:56:22
NT-000222,C058,EU-West,17.02,2026-03-03 18:05:23
NT-000223,C036,EU-West,83.51,2026-03-07 16:50:09
NT-000224,C121,APAC,235.88,2026-03-07 10:48:45
NT-000225,C039,APAC,34.22,2026-03-02 14:13:53
NT-000226,C108,APAC,84.14,2026-03-04 09:03:15
NT-000227,C148,EU-North,143.69,2026-03-05 06:40:32
NT-000228,C107,EU-North,112.84,2026-03-02 17:15:36
NT-000229,C130,EU-West,50.78,2026-03-04 08:33:34
NT-000230,C192,EU-West,14.15,2026-03-07 18:23:16
NT-000231,C189,US-East,40.06,2026-03-03 09:49:37
NT-000232,C176,APAC,513.19,2026-03-04 11:53:49
NT-000233,C199,APAC,26.34,2026-03-03 10:04:45
NT-000234,C081,US-East,98.01,2026-03-08 12:56:02
NT-000235,C193,EU-North,86.45,2026-03-06 21:16:02
NT-000236,C095,APAC,211.5,2026-03-02 16:17:07
NT-000237,C178,APAC,80.55,2026-03-05 16:11:31
NT-000238,C021,APAC,223.35,2026-03-04 08:46:27
NT-000239,C021,US-East,145.97,2026-03-06 15:20:06
NT-000240,C114,US-East,74.14,2026-03-06 19:10:44
NT-000241,C015,EU-West,160.93,2026-03-04 19:17:40
NT-000242,C156,APAC,14.12,2026-03-06 11:01:09
NT-000243,C146,EU-West,201.86,2026-03-08 17:23:24
NT-000244,C020,EU-North,44.22,2026-03-04 17:28:48
NT-000245,C007,EU-North,43.22,2026-03-07 14:15:07
NT-000246,C067,APAC,63.68,2026-03-06 09:16:49
NT-000247,C035,EU-West,89.78,2026-03-07 21:12:07
NT-000248,C082,US-East,182.5,2026-03-05 08:51:43
NT-000249,C183,EU-North,176.31,2026-03-04 15:54:10
NT-000250,C061,APAC,58.42,2026-03-02 12:50:08
NT-000251,C034,EU-West,44.23,2026-03-04 20:51:35
NT-000252,C197,APAC,111.06,2026-03-07 21:33:26
NT-000253,C175,US-East,83.44,2026-03-04 08:28:29
NT-000254,C111,EU-West,177.72,2026-03-06 11:49:08
NT-000255,C182,EU-North,93.62,2026-03-04 11:10:20
NT-000256,C163,US-East,35.56,2026-03-04 08:16:12
NT-000257,C044,EU-North,64.83,2026-03-06 08:32:41
NT-000258,C145,EU-West,104.26,2026-03-06 16:53:59
NT-000259,C197,APAC,104.54,2026-03-02 14:41:13
NT-000260,C124,EU-North,202.75,2026-03-07 15:41:19
NT-000261,C016,EU-North,52.07,2026-03-04 20:04:44
NT-000262,C081,US-East,229.12,2026-03-03 16:38:09
NT-000263,C132,EU-West,50.45,2026-03-05 10:48:23
NT-000264,C025,EU-West,42.96,2026-03-04 20:15:09
NT-000265,C041,US-East,646.62,2026-03-06 19:15:55
NT-000266,C120,APAC,174.61,2026-03-03 11:31:32
NT-000267,C062,EU-North,12.43,2026-03-02 18:32:29
NT-000268,C168,APAC,8.74,2026-03-04 21:38:56
NT-000269,C068,US-East,154.89,2026-03-02 19:08:56
NT-000270,C050,US-East,14.69,2026-03-05 07:36:35
NT-000271,C072,EU-West,16.8,2026-03-06 20:48:35
NT-000272,C194,EU-North,54.33,2026-03-04 16:35:23
NT-000273,C036,US-East,177.9,2026-03-06 07:02:02
NT-000274,C157,US-East,98.15,2026-03-03 22:08:20
NT-000275,C130,APAC,144.97,2026-03-07 15:37:21
NT-000276,C173,EU-West,571.04,2026-03-08 06:23:21
NT-000277,C068,EU-North,187.53,2026-03-08 06:38:30
NT-000278,C159,APAC,69.95,2026-03-03 22:40:46
NT-000279,C113,US-East,45.58,2026-03-02 09:12:01
NT-000280,C157,APAC,210.38,2026-03-03 19:32:49
NT-000281,C144,US-East,513.1,2026-03-02 10:33:13
NT-000282,C137,US-East,69.5,2026-03-05 16:11:29
NT-000283,C050,EU-North,35.16,2026-03-08 14:39:30
NT-000284,C177,APAC,39.74,2026-03-04 15:45:13
NT-000285,C147,APAC,159.18,2026-03-08 14:18:07
NT-000286,C074,EU-West,48.26,2026-03-04 10:18:02
NT-000287,C138,US-East,632.89,2026-03-04 21:13:12
NT-000288,C151,EU-North,68.95,2026-03-03 09:39:47
NT-000289,C014,EU-West,73.28,2026-03-06 13:40:14
NT-000290,C041,APAC,232.1,2026-03-02 10:00:35
NT-000291,C194,US-East,66.78,2026-03-05 21:41:12
NT-000292,C060,EU-West,126.26,2026-03-08 08:41:36
NT-000293,C010,APAC,127.95,2026-03-08 11:59:58
NT-000294,C003,US-East,17.76,2026-03-07 15:56:02
NT-000295,C140,APAC,120.13,2026-03-04 15:29:41
NT-000296,C029,US-East,49.76,2026-03-06 20:17:12
NT-000297,C087,US-East,76.91,2026-03-04 11:00:47
NT-000298,C132,US-East,68.9,2026-03-03 18:52:27
NT-000299,C064,EU-West,29.43,2026-03-03 10:30:20
NT-000300,C150,EU-West,40.72,2026-03-08 14:21:19
