order_id,customer_id,region,order_amount,order_ts
NT-000359,C004,US-East,78.9,2026-03-06 16:55:24
NT-000360,C044,APAC,32.47,2026-03-07 13:36:33
NT-000361,C043,APAC,35.28,2026-03-04 21:09:04
NT-000362,C064,APAC,25.79,2026-03-08 08:23:16
NT-000363,C102,US-East,156.98,2026-03-02 10:19:00
NT-000364,C111,EU-North,62.89,2026-03-08 16:28:21
NT-000365,C046,APAC,410.3,2026-03-07 12:30:20
NT-000366,C063,US-East,82.3,2026-03-07 21:36:50
NT-000367,C145,EU-North,57.65,2026-03-05 17:07:59
NT-000368,C182,EU-North,34.51,2026-03-07 06:46:29
NT-000369,C105,APAC,35.56,2026-03-07 08:52:54
NT-000370,C097,EU-West,62.41,2026-03-04 10:45:27
NT-000371,C178,APAC,79.96,2026-03-06 18:34:32
NT-000372,C064,US-East,63.75,2026-03-04 08:06:49
NT-000373,C111,EU-West,31.55,2026-03-06 18:48:21
NT-000374,C177,EU-North,43.59,2026-03-06 22:35:37
NT-000375,C007,APAC,45.85,2026-03-08 22:09:22
NT-000376,C037,US-East,49.44,2026-03-02 09:53:46
NT-000377,C122,EU-West,71.41,2026-03-03 22:30:22
NT-000378,C182,EU-West,39.22,2026-03-04 08:19:02
NT-000379,C063,EU-North,38.12,2026-03-02 11:59:47
NT-000380,C104,EU-North,67.82,2026-03-05 20:14:51
NT-000381,C051,APAC,43.38,2026-03-05 06:47:39
NT-000382,C193,EU-West,80.75,2026-03-07 12:13:17
NT-000383,C051,APAC,69.03,2026-03-06 11:23:20
NT-000384,C153,APAC,188.05,2026-03-05 22:40:20
NT-000385,C159,EU-North,205.9,2026-03-04 17:54:29
NT-000386,C081,EU-West,18.64,2026-03-04 08:43:08
NT-000387,C108,EU-North,46.5,2026-03-04 10:32:24
NT-000388,C126,US-East,36.63,2026-03-05 11:35:10
NT-000389,C003,APAC,82.18,2026-03-05 07:55:22
NT-000390,C105,APAC,84.43,2026-03-06 22:41:31
NT-000391,C008,EU-North,33.01,2026-03-05 11:05:36
NT-000392,C118,APAC,18.3,2026-03-06 15:10:49
NT-000393,C094,EU-West,166.2,2026-03-02 14:49:34
NT-000394,C168,EU-North,98.94,2026-03-03 19:06:47
NT-000395,C023,APAC,117.61,2026-03-05 14:22:55
NT-000396,C189,US-East,191.54,2026-03-08 13:13:51
NT-000397,C053,EU-North,185.51,2026-03-05 11:39:08
NT-000398,C044,US-East,410.95,2026-03-06 14:38:34
NT-000399,C174,EU-West,76.26,2026-03-06 14:54:32
NT-000400,C168,EU-North,119.9,2026-03-05 07:17:55
NT-000401,C195,APAC,60.55,2026-03-03 16:53:15
NT-000402,C020,EU-West,76.23,2026-03-04 19:24:28
NT-000403,C084,EU-West,227.08,2026-03-07 17:29:31
NT-000404,C179,US-East,219.35,2026-03-02 20:40:42
NT-000405,C055,APAC,83.38,2026-03-05 12:27:52
NT-000406,C125,US-East,214.34,2026-03-04 10:36:54
NT-000407,C118,EU-West,86.05,2026-03-02 09:40:50
NT-000408,C052,EU-North,145.28,2026-03-05 20:00:27
NT-000409,C093,US-East,68.47,2026-03-08 14:05:41
NT-000410,C161,US-East,213.28,2026-03-07 11:03:25
NT-000411,C001,EU-North,20.08,2026-03-05 08:45:06
NT-000412,C003,EU-West,222.57,2026-03-03 22:43:28
NT-000413,C123,EU-West,16.13,2026-03-08 19:44:08
NT-000414,C095,US-East,78.38,2026-03-08 09:06:20
NT-000415,C037,EU-West,8.77,2026-03-08 10:41:43
NT-000416,C185,EU-North,122.71,2026-03-07 11:28:22
NT-000417,C023,EU-West,19.21,2026-03-05 20:55:13
NT-000418,C081,EU-North,66.66,2026-03-07 18:22:27
NT-000419,C007,US-East,63.23,2026-03-03 15:49:44
NT-000420,C014,EU-North,18.26,2026-03-03 18:18:41
NT-000421,C004,US-East,322.59,2026-03-05 08:33:56
NT-000422,C175,EU-North,243.17,2026-03-08 19:23:34
NT-000423,C018,EU-West,11.62,2026-03-08 08:01:37
NT-000424,C161,APAC,44.61,2026-03-02 18:32:18
NT-000425,C080,EU-West,26.49,2026-03-07 10:17:05
NT-000426,C101,EU-West,47.81,2026-03-08 10:34:20
NT-000427,C023,APAC,63.72,2026-03-08 13:03:15
NT-000428,C169,EU-North,72.42,2026-03-02 15:42:47
NT-000429,C089,US-East,19.55,2026-03-07 06:10:31
NT-000430,C031,EU-West,47.07,2026-03-08 14:46:56
NT-000431,C148,EU-West,54.48,2026-03-06 08:16:45
NT-000432,C043,US-East,78.37,2026-03-02 21:54:36
NT-000433,C131,EU-West,86.53,2026-03-06 09:14:47
NT-000434,C099,EU-North,95.39,2026-03-03 07:30:23
NT-000435,C064,APAC,147.99,2026-03-02 19:14:20
NT-000436,C031,EU-West,81.19,2026-03-08 08:36:23
NT-000437,C120,US-East,146.6,2026-03-02 18:04:56
NT-000438,C052,US-East,35.66,2026-03-02 20:00:23
NT-000439,C152,APAC,676.74,2026-03-06 13:29:23
NT-000440,C105,EU-West,39.52,2026-03-07 13:09:00
NT-000441,C195,APAC,209.08,2026-03-08 06:21:00
NT-000442,C108,APAC,784.91,2026-03-02 12:33:15
NT-000443,C060,APAC,155.87,2026-03-03 14:05:02
NT-000444,C130,EU-North,159.15,2026-03-07 08:37:06
NT-000445,C034,EU-North,85.43,2026-03-06 07:27:42
NT-000446,C189,US-East,32.75,2026-03-08 18:44:53
NT-000447,C198,EU-West,22.96,2026-03-02 12:08:49
NT-000448,C138,US-East,364.2,2026-03-05 16:26:07
NT-000449,C031,EU-West,70.43,2026-03-04 20:16:54
NT-000450,C084,EU-North,30.59,2026-03-08 07:13:53
NT-000451,C174,US-East,98.15,2026-03-04 18:32:03
NT-000452,C143,EU-North,17.27,2026-03-02 18:54:28
NT-000453,C016,EU-North,82.95,2026-03-08 10:07:00
NT-000454,C067,EU-West,13.87,2026-03-04 08:37:37
NT-000455,C024,US-East,93.75,2026-03-07 20:51:08
NT-000456,C111,APAC,42.83,2026-03-02 11:59:36
NT-000457,C048,US-East,88.39,2026-03-05 11:22:13
NT-000458,C128,APAC,171.85,2026-03-02 13:41:18
NT-000459,C108,EU-North,219.58,2026-03-02 14:24:08
NT-000460,C183,US-East,79.11,2026-03-03 06:24:50
NT-000461,C070,EU-North,62.34,2026-03-04 22:20:24
NT-000462,C121,US-East,249.94,2026-03-02 14:03:51
NT-000463,C062,US-East,80.0,2026-03-03 09:15:42
NT-000464,C148,APAC,84.37,2026-03-07 07:48:14
NT-000465,C152,US-East,204.64,2026-03-08 11:11:15
NT-000466,C091,EU-North,25.13,2026-03-06 06:45:44
NT-000467,C045,APAC,13.11,2026-03-08 21:34:19
NT-000468,C123,EU-West,63.89,2026-03-06 13:01:33
NT-000469,C046,US-East,21.44,2026-03-08 10:21:45
NT-000470,C135,US-East,455.47,2026-03-07 10:49:07
NT-000471,C087,US-East,96.8,2026-03-07 18:37:06
NT-000472,C125,US-East,96.16,2026-03-07 19:50:40
NT-000473,C151,EU-North,74.79,2026-03-07 17:14:42
NT-000474,C001,APAC,215.62,2026-03-04 10:11:46
NT-000475,C082,EU-North,115.62,2026-03-06 07:11:38
NT-000476,C020,EU-North,37.08,2026-03-05 10:21:47
NT-000477,C172,US-East,32.13,2026-03-07 08:52:45
NT-000478,C028,EU-West,47.88,2026-03-03 08:22:16
NT-000479,C127,APAC,42.16,2026-03-05 11:56:26
NT-000480,C148,EU-North,14.71,2026-03-08 21:50:55
NT-000481,C082,US-East,290.81,2026-03-08 07:18:01
NT-000482,C020,EU-West,97.66,2026-03-03 18:10:46
NT-000483,C043,APAC,17.21,2026-03-05 06:27:41
NT-000484,C142,US-East,144.61,2026-03-03 12:26:44
NT-000485,C141,APAC,40.84,2026-03-02 07:25:36
NT-000486,C170,APAC,10.34,2026-03-05 08:18:52
NT-000487,C030,US-East,170.64,2026-03-03 15:05:30
NT-000488,C140,APAC,88.58,2026-03-07 14:05:41
NT-000489,C068,APAC,28.59,2026-03-04 11:28:02
NT-000490,C179,EU-West,39.29,2026-03-04 07:09:48
NT-000491,C059,EU-West,222.76,2026-03-06 19:48:37
NT-000492,C061,APAC,43.93,2026-03-05 21:36:56
NT-000493,C133,EU-North,76.9,2026-03-08 07:32:36
NT-000494,C050,EU-North,15.13,2026-03-03 11:13:51
NT-000495,C161,EU-North,138.68,2026-03-07 19:12:52
NT-000496,C143,APAC,85.95,2026-03-07 08:05:24
NT-000497,C004,APAC,21.62,2026-03-06 20:58:55
NT-000498,C145,EU-West,230.12,2026-03-06 09:59:06
NT-000499,C168,APAC,51.05,2026-03-04 19:16:24
NT-000500,C159,APAC,88.95,2026-03-03 14:25:09
NT-000501,C122,US-East,103.03,2026-03-04 13:03:47
NT-000502,C126,EU-West,375.38,2026-03-08 15:19:17
NT-000503,C083,US-East,190.75,2026-03-04 20:49:52
NT-000504,C105,APAC,230.08,2026-03-02 12:28:13
NT-000505,C041,EU-West,54.12,2026-03-08 07:32:50
NT-000506,C008,EU-North,83.8,2026-03-03 22:56:36
NT-000507,C117,EU-West,205.7,2026-03-08 07:15:02
NT-000508,C130,APAC,118.58,2026-03-04 17:52:29
NT-000509,C153,APAC,87.21,2026-03-02 13:23:31
NT-000510,C067,EU-West,43.18,2026-03-06 17:22:10
NT-000511,C166,EU-North,140.36,2026-03-03 12:54:14
NT-000512,C200,EU-West,20.04,2026-03-05 22:01:55
NT-000513,C156,US-East,206.41,2026-03-03 06:14:16
NT-000514,C090,APAC,50.47,2026-03-04 19:57:24
NT-000515,C102,EU-West,98.95,2026-03-07 22:52:39
NT-000516,C153,US-East,17.84,2026-03-08 17:35:41
NT-000517,C084,US-East,72.71,2026-03-02 16:17:40
NT-000518,C133,EU-North,220.81,2026-03-07 15:12:09
NT-000519,C175,EU-North,198.31,2026-03-08 18:42:20
NT-000520,C104,APAC,187.45,2026-03-04 14:58:26
NT-000521,C183,EU-North,195.75,2026-03-06 12:21:46
NT-000522,C044,EU-North,50.84,2026-03-05 17:32:19
NT-000523,C144,EU-North,744.78,2026-03-07 14:46:51
NT-000524,C058,US-East,88.7,2026-03-07 08:14:22
NT-000525,C119,EU-West,86.84,2026-03-04 14:37:18
NT-000526,C050,EU-West,157.25,2026-03-06 08:30:56
NT-000527,C039,EU-North,438.47,2026-03-04 19:03:55
NT-000528,C184,EU-North,173.14,2026-03-06 20:09:20
NT-000529,C015,EU-West,27.05,2026-03-07 11:20:40
NT-000530,C041,APAC,216.96,2026-03-08 11:36:48
NT-000531,C104,APAC,460.82,2026-03-03 19:40:27
NT-000532,C004,US-East,179.66,2026-03-02 12:46:23
NT-000533,C064,EU-North,151.65,2026-03-02 06:40:46
NT-000534,C151,US-East,82.97,2026-03-03 09:24:32
NT-000535,C134,US-East,70.5,2026-03-04 15:29:46
NT-000536,C092,EU-North,90.53,2026-03-03 16:57:31
NT-000537,C058,EU-North,9.99,2026-03-08 18:01:14
NT-000538,C183,EU-West,66.27,2026-03-06 11:07:23
NT-000539,C170,EU-West,102.96,2026-03-08 07:38:03
NT-000540,C098,EU-West,51.17,2026-03-07 09:26:28
NT-000541,C162,EU-West,68.21,2026-03-03 12:44:43
NT-000542,C156,EU-North,89.77,2026-03-07 22:17:39
NT-000543,C028,APAC,26.18,2026-03-06 09:18:07
NT-000544,C181,APAC,11.59,2026-03-04 22:12:22
NT-000545,C124,US-East,9.16,2026-03-05 12:44:59
NT-000546,C172,APAC,16.2,2026-03-02 09:53:36
NT-000547,C026,US-East,168.51,2026-03-06 08:46:46
NT-000548,C026,EU-North,227.84,2026-03-04 14:29:03
NT-000549,C030,EU-West,233.54,2026-03-04 16:27:47
NT-000550,C044,US-East,47.83,2026-03-02 10:42:41
