order_id,customer_id,amount,order_ts
NT-000601,C180,240.96,2026-03-02 12:34:53
NT-000602,C184,14.67,2026-03-07 10:01:29
NT-000603,C148,161.14,2026-03-03 14:35:04
NT-000604,C005,180.23,2026-03-05 18:27:20
NT-000605,C150,110.89,2026-03-07 08:48:47
NT-000606,C176,142.23,2026-03-06 09:18:50
NT-000607,C170,56.55,2026-03-05 18:25:52
NT-000608,C140,329.24,2026-03-03 18:50:51
NT-000609,C143,8.46,2026-03-07 17:00:35
NT-000610,C022,75.47,2026-03-06 18:34:35
NT-000611,C166,28.09,2026-03-07 17:13:26
NT-000612,C047,239.86,2026-03-08 14:12:07
NT-000613,C019,137.6,2026-03-06 20:41:35
NT-000614,C033,64.38,2026-03-03 21:21:22
NT-000615,C085,122.86,2026-03-03 16:31:28
NT-000616,C110,30.4,2026-03-06 17:51:20
NT-000617,C093,149.73,2026-03-03 19:17:53
NT-000618,C199,17.9,2026-03-05 20:28:22
NT-000619,C036,88.66,2026-03-07 08:53:17
NT-000620,C130,186.84,2026-03-02 08:57:01
NT-000621,C142,98.88,2026-03-08 12:58:02
NT-000622,C058,53.6,2026-03-05 10:23:25
NT-000623,C003,220.98,2026-03-02 18:23:32
NT-000624,C036,59.54,2026-03-06 11:48:32
NT-000625,C124,77.29,2026-03-06 10:47:46
NT-000626,C060,177.68,2026-03-03 08:16:23
NT-000627,C117,67.02,2026-03-08 17:24:30
NT-000628,C071,59.88,2026-03-02 22:40:53
NT-000629,C168,42.25,2026-03-05 18:23:37
NT-000630,C089,233.08,2026-03-03 22:25:22
NT-000631,C113,54.82,2026-03-02 22:56:08
NT-000632,C041,222.54,2026-03-04 12:09:11
NT-000633,C085,51.57,2026-03-07 13:26:51
NT-000634,C106,19.64,2026-03-03 11:41:53
NT-000635,C132,122.03,2026-03-06 11:08:40
NT-000636,C133,59.29,2026-03-03 14:59:11
NT-000637,C115,125.59,2026-03-02 15:05:13
NT-000638,C150,176.62,2026-03-08 19:38:09
NT-000639,C153,43.08,2026-03-03 16:59:29
NT-000640,C130,190.83,2026-03-02 06:12:33
NT-000641,C154,179.71,2026-03-03 21:57:39
NT-000642,C169,180.89,2026-03-08 09:05:30
NT-000643,C095,164.34,2026-03-02 19:33:26
NT-000644,C098,75.47,2026-03-08 21:50:49
NT-000645,C066,236.51,2026-03-08 09:27:08
NT-000646,C140,8.5,2026-03-02 15:38:56
NT-000647,C031,26.69,2026-03-07 06:36:33
NT-000648,C028,61.27,2026-03-08 16:26:23
NT-000649,C157,468.6,2026-03-04 19:36:23
NT-000650,C143,58.88,2026-03-03 19:35:50
NT-000651,C089,228.25,2026-03-05 14:19:36
NT-000652,C115,54.26,2026-03-07 09:47:14
NT-000653,C158,95.78,2026-03-08 16:51:35
NT-000654,C121,31.94,2026-03-02 08:52:09
NT-000655,C186,470.35,2026-03-04 08:38:02
NT-000656,C153,701.13,2026-03-07 22:18:45
NT-000657,C052,79.34,2026-03-07 21:28:00
NT-000658,C158,153.96,2026-03-06 22:44:14
NT-000659,C071,43.96,2026-03-07 06:10:05
NT-000660,C189,182.44,2026-03-06 12:33:00
NT-000661,C071,129.18,2026-03-07 17:22:52
NT-000662,C105,53.79,2026-03-05 06:16:11
NT-000663,C066,244.91,2026-03-04 09:51:32
NT-000664,C194,502.37,2026-03-06 21:49:15
NT-000665,C067,79.77,2026-03-05 06:30:07
NT-000666,C106,8.88,2026-03-03 13:51:20
NT-000667,C024,223.16,2026-03-08 14:15:18
NT-000668,C091,140.36,2026-03-02 11:30:20
NT-000669,C052,230.91,2026-03-07 12:31:47
NT-000670,C064,17.71,2026-03-03 13:12:53
NT-000671,C196,155.68,2026-03-02 21:39:00
NT-000672,C148,97.58,2026-03-04 21:57:56
NT-000673,C193,80.73,2026-03-06 14:25:14
NT-000674,C101,18.95,2026-03-05 07:32:22
NT-000675,C003,156.91,2026-03-06 20:20:44
NT-000676,C067,29.58,2026-03-02 16:23:39
NT-000677,C128,71.76,2026-03-05 16:23:11
NT-000678,C072,19.93,2026-03-04 17:54:25
NT-000679,C185,183.3,2026-03-06 13:52:06
NT-000680,C190,8.89,2026-03-08 18:12:09
NT-000681,C162,145.01,2026-03-05 21:08:57
NT-000682,C177,82.06,2026-03-06 07:25:06
NT-000683,C086,58.99,2026-03-05 09:28:47
NT-000684,C106,69.84,2026-03-08 14:22:01
NT-000685,C167,406.53,2026-03-06 12:36:36
NT-000686,C189,157.16,2026-03-04 22:31:49
NT-000687,C043,63.72,2026-03-04 20:40:09
NT-000688,C088,67.42,2026-03-05 08:05:10
NT-000689,C102,217.15,2026-03-07 14:38:41
NT-000690,C043,118.76,2026-03-04 22:28:26
NT-000691,C192,44.13,2026-03-03 14:47:44
NT-000692,C122,44.13,2026-03-02 08:59:56
NT-000693,C159,92.77,2026-03-08 08:06:16
NT-000694,C189,19.5,2026-03-05 15:14:15
NT-000695,C170,148.78,2026-03-06 11:01:02
NT-000696,C070,94.31,2026-03-05 20:55:34
NT-000697,C117,66.2,2026-03-06 11:37:38
NT-000698,C059,41.29,2026-03-04 17:30:34
NT-000699,C001,50.7,2026-03-04 10:19:00
NT-000700,C077,219.69,2026-03-02 21:48:30
NT-000701,C141,88.28,2026-03-06 13:50:00
NT-000702,C184,133.09,2026-03-05 18:15:10
NT-000703,C133,75.61,2026-03-02 19:40:15
NT-000704,C018,18.04,2026-03-08 14:26:12
NT-000705,C160,9.76,2026-03-05 20:17:44
NT-000706,C073,47.9,2026-03-02 06:11:06
NT-000707,C004,46.24,2026-03-02 13:05:09
NT-000708,C179,84.76,2026-03-08 21:23:29
NT-000709,C101,24.53,2026-03-03 07:17:49
NT-000710,C004,643.08,2026-03-08 14:52:24
NT-000711,C009,78.16,2026-03-05 20:15:47
NT-000712,C175,337.24,2026-03-06 12:30:24
NT-000713,C141,66.11,2026-03-07 07:47:59
NT-000714,C171,379.78,2026-03-03 17:56:03
NT-000715,C071,30.12,2026-03-05 16:00:10
NT-000716,C040,137.31,2026-03-02 21:44:38
NT-000717,C087,66.66,2026-03-05 08:43:39
NT-000718,C060,683.71,2026-03-07 09:08:31
NT-000719,C113,42.38,2026-03-08 17:51:57
NT-000720,C011,183.85,2026-03-07 10:16:57
NT-000721,C048,50.62,2026-03-06 21:12:36
NT-000722,C040,31.96,2026-03-08 11:04:33
NT-000723,C164,232.44,2026-03-04 20:00:49
NT-000724,C062,198.74,2026-03-06 17:49:39
NT-000725,C175,123.12,2026-03-06 18:12:33
NT-000726,C083,67.96,2026-03-04 16:26:41
NT-000727,C009,25.44,2026-03-02 10:11:55
NT-000728,C135,28.09,2026-03-02 18:42:31
NT-000729,C054,224.81,2026-03-07 08:00:59
NT-000730,C191,219.14,2026-03-05 07:23:35
NT-000731,C188,111.69,2026-03-02 14:33:02
NT-000732,C186,25.24,2026-03-03 22:06:06
NT-000733,C046,214.94,2026-03-06 13:36:40
NT-000734,C180,125.02,2026-03-06 17:43:29
NT-000735,C169,62.59,2026-03-03 18:32:21
NT-000736,C096,164.59,2026-03-04 16:35:20
NT-000737,C145,58.07,2026-03-07 16:38:15
NT-000738,C115,11.15,2026-03-07 14:23:28
NT-000739,C078,28.19,2026-03-04 06:33:08
NT-000740,C177,176.69,2026-03-08 16:01:49
NT-000741,C118,32.11,2026-03-06 10:06:02
NT-000742,C077,59.78,2026-03-06 13:14:16
NT-000743,C124,89.81,2026-03-03 08:46:20
NT-000744,C077,186.44,2026-03-07 09:38:41
NT-000745,C086,165.15,2026-03-02 07:58:49
NT-000746,C059,194.83,2026-03-08 09:55:49
NT-000747,C082,71.5,2026-03-02 15:33:02
NT-000748,C101,186.29,2026-03-03 07:43:46
NT-000749,C101,15.51,2026-03-02 13:27:18
NT-000750,C068,47.54,2026-03-06 07:35:25
NT-000751,C124,67.35,2026-03-07 10:48:08
NT-000752,C019,148.51,2026-03-03 22:15:15
NT-000753,C106,25.33,2026-03-06 08:07:42
NT-000754,C044,248.52,2026-03-04 06:49:19
NT-000755,C060,123.4,2026-03-05 10:28:02
NT-000756,C014,759.7,2026-03-07 08:07:47
NT-000757,C178,50.88,2026-03-08 15:00:21
NT-000758,C055,76.28,2026-03-04 12:47:34
NT-000759,C037,90.45,2026-03-06 21:39:46
NT-000760,C016,71.38,2026-03-06 07:16:10
NT-000761,C003,32.69,2026-03-04 07:29:41
NT-000762,C005,197.41,2026-03-08 17:55:06
NT-000763,C026,62.34,2026-03-03 18:32:45
NT-000764,C118,91.93,2026-03-02 11:12:32
NT-000765,C191,70.27,2026-03-04 16:31:25
NT-000766,C071,231.8,2026-03-04 15:15:32
NT-000767,C058,43.75,2026-03-08 06:35:17
NT-000768,C134,60.13,2026-03-03 08:46:24
NT-000769,C085,26.81,2026-03-05 15:58:38
NT-000770,C080,90.72,2026-03-03 12:55:08
NT-000771,C145,58.72,2026-03-08 10:41:59
NT-000772,C038,232.02,2026-03-07 09:11:20
NT-000773,C191,25.1,2026-03-05 19:19:28
NT-000774,C157,191.85,2026-03-03 11:01:48
NT-000775,C007,78.96,2026-03-06 13:14:43
NT-000776,C121,43.26,2026-03-03 22:54:38
NT-000777,C058,96.16,2026-03-05 10:10:12
NT-000778,C172,109.92,2026-03-04 19:14:47
NT-000779,C118,78.64,2026-03-05 21:44:20
NT-000780,C101,49.1,2026-03-06 18:46:20
NT-000781,C133,271.59,2026-03-08 07:56:15
NT-000782,C013,44.22,2026-03-05 22:48:40
NT-000783,C109,108.18,2026-03-04 15:29:10
NT-000784,C166,53.56,2026-03-06 10:29:53
NT-000785,C083,49.28,2026-03-03 10:25:26
NT-000786,C024,67.02,2026-03-07 12:56:29
NT-000787,C032,48.9,2026-03-07 11:45:46
NT-000788,C099,42.64,2026-03-04 08:33:45
NT-000789,C145,21.16,2026-03-08 11:58:21
NT-000790,C080,24.44,2026-03-08 07:26:19
NT-000791,C196,53.28,2026-03-03 12:00:39
NT-000792,C127,68.01,2026-03-05 06:38:56
NT-000793,C154,57.81,2026-03-05 19:28:05
NT-000794,C038,105.51,2026-03-06 12:03:11
NT-000795,C155,15.98,2026-03-08 07:42:36
NT-000796,C173,203.73,2026-03-02 19:11:10
NT-000797,C149,301.22,2026-03-06 11:29:47
NT-000798,C098,226.5,2026-03-04 16:23:57
NT-000799,C032,45.65,2026-03-02 15:30:08
NT-000800,C028,70.67,2026-03-03 12:39:03
